,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,std,sta,atd,ata,date
0,1807.0,1630,97.0,1956.0,1837,79.0,EV,4411,N13566,EWR,MEM,144.0,946,16:30:00,18:37:00,18:07:00,19:56:00,2013-02-26
1,1459.0,1445,14.0,1801.0,1747,14.0,B6,1171,N661JB,LGA,FLL,147.0,1076,14:45:00,17:47:00,14:59:00,18:01:00,2013-08-17
2,1812.0,1815,-3.0,2055.0,2125,-30.0,AS,7,N403AS,EWR,SEA,315.0,2402,18:15:00,21:25:00,18:12:00,20:55:00,2013-02-13
3,2122.0,2115,7.0,2339.0,2353,-14.0,B6,97,N656JB,JFK,DEN,221.0,1626,21:15:00,23:53:00,21:22:00,23:39:00,2013-04-11
4,1832.0,1835,-3.0,2145.0,2155,-10.0,AA,269,N3EYAA,JFK,SEA,358.0,2422,18:35:00,21:55:00,18:32:00,21:45:00,2013-08-05
5,1500.0,1505,-5.0,1751.0,1650,61.0,UA,685,N424UA,LGA,ORD,116.0,733,15:05:00,16:50:00,15:00:00,17:51:00,2013-06-30
6,1442.0,1445,-3.0,1833.0,1747,46.0,UA,346,N446UA,EWR,MIA,200.0,1085,14:45:00,17:47:00,14:42:00,18:33:00,2013-02-14
7,752.0,755,-3.0,1037.0,1057,-20.0,DL,2395,N909DL,LGA,PBI,140.0,1035,7:55:00,10:57:00,7:52:00,10:37:00,2013-07-25
8,557.0,600,-3.0,725.0,715,10.0,MQ,3267,N542MQ,EWR,ORD,113.0,719,6:00:00,7:15:00,5:57:00,7:25:00,2013-07-10
9,1907.0,1915,-8.0,2155.0,2219,-24.0,DL,2159,N909DE,JFK,MCO,138.0,944,19:15:00,22:19:00,19:07:00,21:55:00,2013-12-13
10,1455.0,1500,-5.0,1647.0,1655,-8.0,MQ,4429,N734MQ,LGA,CMH,83.0,479,15:00:00,16:55:00,14:55:00,16:47:00,2013-01-28
11,903.0,912,-9.0,1051.0,1115,-24.0,EV,4348,N12163,EWR,MSP,138.0,1008,9:12:00,11:15:00,9:03:00,10:51:00,2013-09-06
12,,620,,,817,,EV,4963,N750EV,EWR,MSP,,1008,6:20:00,8:17:00,,,2013-08-19
13,553.0,600,-7.0,657.0,724,-27.0,EV,5689,N825AS,LGA,IAD,48.0,229,6:00:00,7:24:00,5:53:00,6:57:00,2013-04-08
14,625.0,630,-5.0,824.0,832,-8.0,US,1433,N188US,LGA,CLT,98.0,544,6:30:00,8:32:00,6:25:00,8:24:00,2013-05-12
15,823.0,829,-6.0,1006.0,1017,-11.0,DL,1157,N324US,EWR,MSP,139.0,1008,8:29:00,10:17:00,8:23:00,10:06:00,2013-09-14
16,649.0,700,-11.0,938.0,1006,-28.0,DL,2003,N317US,LGA,MIA,153.0,1096,7:00:00,10:06:00,6:49:00,9:38:00,2013-05-11
17,2211.0,2155,16.0,48.0,43,5.0,B6,425,N656JB,JFK,TPA,129.0,1005,21:55:00,:43:00,22:11:00,:48:00,2013-07-29
18,657.0,700,-3.0,806.0,809,-3.0,US,2163,N945UW,LGA,DCA,46.0,214,7:00:00,8:09:00,6:57:00,8:06:00,2013-01-02
19,639.0,640,-1.0,1041.0,1040,1.0,AA,413,N3FYAA,JFK,SJU,207.0,1598,6:40:00,10:40:00,6:39:00,10:41:00,2013-07-27
20,1328.0,1330,-2.0,1549.0,1603,-14.0,DL,2043,N3761R,JFK,ATL,108.0,760,13:30:00,16:03:00,13:28:00,15:49:00,2013-02-09
21,1859.0,1900,-1.0,2030.0,2048,-18.0,EV,5038,N719EV,LGA,BHM,119.0,866,19:00:00,20:48:00,18:59:00,20:30:00,2013-05-02
22,1621.0,1627,-6.0,1743.0,1754,-11.0,EV,6101,N14905,LGA,IAD,47.0,229,16:27:00,17:54:00,16:21:00,17:43:00,2013-09-17
23,734.0,740,-6.0,1051.0,1044,7.0,B6,341,N632JB,JFK,SRQ,167.0,1041,7:40:00,10:44:00,7:34:00,10:51:00,2013-02-23
24,1053.0,1100,-7.0,1209.0,1215,-6.0,MQ,3792,N510MQ,JFK,DCA,57.0,213,11:00:00,12:15:00,10:53:00,12:09:00,2013-01-13
25,1203.0,1144,19.0,1515.0,1444,31.0,UA,684,N407UA,EWR,TPA,160.0,997,11:44:00,14:44:00,12:03:00,15:15:00,2013-04-05
26,806.0,804,2.0,1014.0,1013,1.0,EV,4304,N11150,EWR,MSY,161.0,1167,8:04:00,10:13:00,8:06:00,10:14:00,2013-06-16
27,625.0,630,-5.0,815.0,840,-25.0,US,2085,N563UW,LGA,CLT,84.0,544,6:30:00,8:40:00,6:25:00,8:15:00,2013-09-05
28,2134.0,1815,199.0,2326.0,2037,169.0,9E,3424,N909XJ,JFK,DTW,85.0,509,18:15:00,20:37:00,21:34:00,23:26:00,2013-01-30
29,2036.0,2040,-4.0,2359.0,2359,0.0,B6,523,N796JB,JFK,LAX,346.0,2475,20:40:00,23:59:00,20:36:00,23:59:00,2013-11-20
30,715.0,725,-10.0,946.0,1002,-16.0,B6,677,N273JB,JFK,JAX,124.0,828,7:25:00,10:02:00,7:15:00,9:46:00,2013-11-13
31,1506.0,1510,-4.0,1641.0,1655,-14.0,MQ,4447,N736MQ,LGA,RDU,70.0,431,15:10:00,16:55:00,15:06:00,16:41:00,2013-02-12
32,1858.0,1900,-2.0,2125.0,2132,-7.0,DL,947,N937DL,LGA,ATL,103.0,762,19:00:00,21:32:00,18:58:00,21:25:00,2013-09-10
33,639.0,640,-1.0,934.0,922,12.0,B6,983,N623JB,LGA,TPA,154.0,1010,6:40:00,9:22:00,6:39:00,9:34:00,2013-04-12
34,2036.0,2040,-4.0,2142.0,2205,-23.0,WN,2284,N940WN,LGA,MDW,113.0,725,20:40:00,22:05:00,20:36:00,21:42:00,2013-08-10
35,1247.0,1250,-3.0,1458.0,1520,-22.0,WN,390,N416WN,LGA,DEN,234.0,1620,12:50:00,15:20:00,12:47:00,14:58:00,2013-02-01
36,1857.0,1855,2.0,2118.0,2100,18.0,MQ,4649,N516MQ,LGA,MSP,167.0,1020,18:55:00,21:00:00,18:57:00,21:18:00,2013-02-06
37,857.0,855,2.0,1105.0,1100,5.0,MQ,3478,N821MQ,LGA,DTW,95.0,502,8:55:00,11:00:00,8:57:00,11:05:00,2013-12-30
38,1456.0,1500,-4.0,1736.0,1750,-14.0,AA,883,N4YBAA,EWR,DFW,194.0,1372,15:00:00,17:50:00,14:56:00,17:36:00,2013-07-01
39,2114.0,2121,-7.0,2342.0,2359,-17.0,UA,527,N824UA,EWR,IAH,187.0,1400,21:21:00,23:59:00,21:14:00,23:42:00,2013-06-04
40,826.0,830,-4.0,953.0,1015,-22.0,AA,309,N516AA,LGA,ORD,115.0,733,8:30:00,10:15:00,8:26:00,9:53:00,2013-04-20
41,955.0,1000,-5.0,1233.0,1235,-2.0,DL,1847,N919DL,LGA,ATL,119.0,762,10:00:00,12:35:00,9:55:00,12:33:00,2013-08-07
42,1706.0,1708,-2.0,2037.0,2023,14.0,B6,15,N267JB,JFK,FLL,179.0,1069,17:08:00,20:23:00,17:06:00,20:37:00,2013-01-22
43,1028.0,1028,0.0,1317.0,1339,-22.0,UA,1150,N38403,EWR,SFO,321.0,2565,10:28:00,13:39:00,10:28:00,13:17:00,2013-07-19
44,1354.0,1350,4.0,1650.0,1634,16.0,UA,679,N418UA,EWR,IAH,206.0,1400,13:50:00,16:34:00,13:54:00,16:50:00,2013-04-21
45,1209.0,1200,9.0,1414.0,1354,20.0,US,1879,N172US,JFK,CLT,92.0,541,12:00:00,13:54:00,12:09:00,14:14:00,2013-08-01
46,1557.0,1555,2.0,1718.0,1740,-22.0,WN,493,N236WN,LGA,STL,129.0,888,15:55:00,17:40:00,15:57:00,17:18:00,2013-07-04
47,1307.0,1315,-8.0,1510.0,1521,-11.0,9E,3795,N824AY,EWR,CVG,99.0,569,13:15:00,15:21:00,13:07:00,15:10:00,2013-09-13
48,710.0,710,0.0,1034.0,1033,1.0,B6,671,N535JB,JFK,LAX,348.0,2475,7:10:00,10:33:00,7:10:00,10:34:00,2013-04-15
49,1713.0,1715,-2.0,1916.0,1927,-11.0,EV,4085,N22909,EWR,IND,104.0,645,17:15:00,19:27:00,17:13:00,19:16:00,2013-04-21
50,623.0,625,-2.0,753.0,805,-12.0,WN,526,N910WN,LGA,STL,125.0,888,6:25:00,8:05:00,6:23:00,7:53:00,2013-07-02
51,2032.0,2038,-6.0,2200.0,2216,-16.0,EV,4138,N12157,EWR,RDU,63.0,416,20:38:00,22:16:00,20:32:00,22:00:00,2013-02-28
52,701.0,710,-9.0,841.0,845,-4.0,AA,305,N492AA,LGA,ORD,120.0,733,7:10:00,8:45:00,7:01:00,8:41:00,2013-11-01
53,1924.0,1925,-1.0,2239.0,2243,-4.0,DL,2139,N964DL,LGA,MIA,159.0,1096,19:25:00,22:43:00,19:24:00,22:39:00,2013-03-21
54,859.0,900,-1.0,1151.0,1205,-14.0,DL,1885,N327NW,LGA,MCO,135.0,950,9:00:00,12:05:00,8:59:00,11:51:00,2013-02-18
55,622.0,620,2.0,721.0,734,-13.0,EV,3824,N29917,EWR,IAD,41.0,212,6:20:00,7:34:00,6:22:00,7:21:00,2013-08-31
56,1947.0,1920,27.0,2244.0,2230,14.0,DL,2370,N367NW,LGA,PBI,150.0,1035,19:20:00,22:30:00,19:47:00,22:44:00,2013-02-20
57,1052.0,1100,-8.0,1220.0,1245,-25.0,MQ,4471,N711MQ,LGA,RDU,67.0,431,11:00:00,12:45:00,10:52:00,12:20:00,2013-05-31
58,756.0,800,-4.0,1052.0,1104,-12.0,B6,1511,N587JB,EWR,RSW,155.0,1068,8:00:00,11:04:00,7:56:00,10:52:00,2013-08-23
59,856.0,900,-4.0,1144.0,1144,0.0,DL,1747,N968DL,LGA,ATL,108.0,762,9:00:00,11:44:00,8:56:00,11:44:00,2013-10-09
60,511.0,515,-4.0,803.0,802,1.0,UA,1545,N37253,EWR,IAH,216.0,1400,5:15:00,8:02:00,5:11:00,8:03:00,2013-04-19
61,704.0,708,-4.0,1002.0,1013,-11.0,UA,1077,N14704,EWR,MIA,159.0,1085,7:08:00,10:13:00,7:04:00,10:02:00,2013-12-02
62,1445.0,1445,0.0,1742.0,1805,-23.0,AA,1925,N3EVAA,LGA,MIA,148.0,1096,14:45:00,18:05:00,14:45:00,17:42:00,2013-05-16
63,2046.0,2025,21.0,2345.0,2340,5.0,UA,314,N587UA,JFK,LAX,337.0,2475,20:25:00,23:40:00,20:46:00,23:45:00,2013-11-25
64,1110.0,1115,-5.0,1238.0,1255,-17.0,MQ,3466,N1EAMQ,LGA,RDU,70.0,431,11:15:00,12:55:00,11:10:00,12:38:00,2013-11-10
65,1317.0,1315,2.0,1524.0,1529,-5.0,EV,5148,N614QX,LGA,CVG,91.0,585,13:15:00,15:29:00,13:17:00,15:24:00,2013-03-26
66,715.0,607,68.0,951.0,819,92.0,EV,4559,N18557,EWR,CVG,122.0,569,6:07:00,8:19:00,7:15:00,9:51:00,2013-01-03
67,1709.0,1710,-1.0,1827.0,1835,-8.0,MQ,3365,N857MQ,JFK,DCA,48.0,213,17:10:00,18:35:00,17:09:00,18:27:00,2013-09-26
68,1520.0,1515,5.0,1839.0,1812,27.0,UA,1602,N78060,EWR,IAH,234.0,1400,15:15:00,18:12:00,15:20:00,18:39:00,2013-02-23
69,1849.0,1835,14.0,2045.0,2040,5.0,DL,2131,N337NW,LGA,DTW,83.0,502,18:35:00,20:40:00,18:49:00,20:45:00,2013-04-03
70,1557.0,1520,37.0,1739.0,1705,34.0,AA,341,N3BKAA,LGA,ORD,130.0,733,15:20:00,17:05:00,15:57:00,17:39:00,2013-12-19
71,559.0,600,-1.0,829.0,825,4.0,WN,1716,N276WN,LGA,ATL,121.0,762,6:00:00,8:25:00,5:59:00,8:29:00,2013-11-21
72,1755.0,1629,86.0,2032.0,1927,65.0,B6,985,N793JB,LGA,TPA,135.0,1010,16:29:00,19:27:00,17:55:00,20:32:00,2013-05-30
73,1337.0,1249,48.0,1626.0,1539,47.0,B6,991,N635JB,JFK,PBI,155.0,1028,12:49:00,15:39:00,13:37:00,16:26:00,2013-03-19
74,1349.0,1350,-1.0,1620.0,1624,-4.0,B6,615,N316JB,JFK,JAX,123.0,828,13:50:00,16:24:00,13:49:00,16:20:00,2013-01-14
75,1939.0,1945,-6.0,2034.0,2105,-31.0,UA,1532,N38424,EWR,BOS,39.0,200,19:45:00,21:05:00,19:39:00,20:34:00,2013-09-14
76,1651.0,1655,-4.0,1957.0,2030,-33.0,VX,413,N642VA,JFK,LAX,349.0,2475,16:55:00,20:30:00,16:51:00,19:57:00,2013-02-18
77,1450.0,1455,-5.0,1639.0,1701,-22.0,9E,4120,N8903A,JFK,CLE,72.0,425,14:55:00,17:01:00,14:50:00,16:39:00,2013-07-14
78,653.0,659,-6.0,931.0,955,-24.0,UA,537,N459UA,EWR,PBI,140.0,1023,6:59:00,9:55:00,6:53:00,9:31:00,2013-10-21
79,721.0,732,-11.0,1019.0,1038,-19.0,UA,630,N401UA,LGA,IAH,212.0,1416,7:32:00,10:38:00,7:21:00,10:19:00,2013-02-26
80,1802.0,1810,-8.0,2047.0,2110,-23.0,DL,2370,N3730B,LGA,PBI,129.0,1035,18:10:00,21:10:00,18:02:00,20:47:00,2013-05-26
81,1434.0,1425,9.0,1619.0,1630,-11.0,EV,5164,N712EV,EWR,MSP,151.0,1008,14:25:00,16:30:00,14:34:00,16:19:00,2013-01-06
82,1517.0,1520,-3.0,1651.0,1653,-2.0,9E,4105,N839AY,JFK,IAD,55.0,228,15:20:00,16:53:00,15:17:00,16:51:00,2013-02-16
83,1846.0,1855,-9.0,2051.0,2100,-9.0,US,1491,N543UW,LGA,CLT,95.0,544,18:55:00,21:00:00,18:46:00,20:51:00,2013-03-17
84,1821.0,1804,17.0,2103.0,2130,-27.0,UA,1735,N37437,EWR,LAX,319.0,2454,18:04:00,21:30:00,18:21:00,21:03:00,2013-11-30
85,2311.0,1916,235.0,155.0,2214,221.0,B6,883,N507JB,JFK,MCO,140.0,944,19:16:00,22:14:00,23:11:00,1:55:00,2013-07-01
86,1730.0,1734,-4.0,2041.0,2046,-5.0,UA,418,N509UA,EWR,SFO,337.0,2565,17:34:00,20:46:00,17:30:00,20:41:00,2013-10-30
87,1000.0,1000,0.0,1117.0,1139,-22.0,UA,434,N423UA,LGA,ORD,114.0,733,10:00:00,11:39:00,10:00:00,11:17:00,2013-02-15
88,1915.0,1920,-5.0,2153.0,2246,-53.0,DL,83,N398DA,JFK,FLL,138.0,1069,19:20:00,22:46:00,19:15:00,21:53:00,2013-01-12
89,1901.0,1900,1.0,2344.0,2359,-15.0,AA,1029,N5CPAA,JFK,SJU,190.0,1598,19:00:00,23:59:00,19:01:00,23:44:00,2013-12-13
90,2109.0,1910,119.0,9.0,2215,114.0,AA,21,N335AA,JFK,LAX,322.0,2475,19:10:00,22:15:00,21:09:00,,2013-09-12
91,2017.0,1929,48.0,2236.0,2212,24.0,DL,2041,N358NW,JFK,ATL,97.0,760,19:29:00,22:12:00,20:17:00,22:36:00,2013-07-29
92,1234.0,1240,-6.0,1556.0,1540,16.0,AA,1853,N484AA,EWR,DFW,227.0,1372,12:40:00,15:40:00,12:34:00,15:56:00,2013-02-20
93,950.0,950,0.0,1202.0,1205,-3.0,MQ,3644,N534MQ,LGA,ATL,106.0,762,9:50:00,12:05:00,9:50:00,12:02:00,2013-06-20
94,2001.0,2005,-4.0,2248.0,2258,-10.0,UA,405,N402UA,EWR,MCO,136.0,937,20:05:00,22:58:00,20:01:00,22:48:00,2013-01-23
95,1129.0,1135,-6.0,1414.0,1436,-22.0,DL,1875,N342NB,LGA,TPA,147.0,1010,11:35:00,14:36:00,11:29:00,14:14:00,2013-11-29
96,1029.0,1029,0.0,1300.0,1344,-44.0,UA,1605,N37465,EWR,LAX,308.0,2454,10:29:00,13:44:00,10:29:00,13:00:00,2013-03-10
97,1724.0,1725,-1.0,1828.0,1845,-17.0,AA,256,N3CTAA,JFK,BOS,40.0,187,17:25:00,18:45:00,17:24:00,18:28:00,2013-11-25
98,930.0,929,1.0,1421.0,1426,-5.0,B6,215,N638JB,EWR,SJU,200.0,1608,9:29:00,14:26:00,9:30:00,14:21:00,2013-03-05
99,626.0,630,-4.0,858.0,918,-20.0,UA,490,N447UA,LGA,IAH,189.0,1416,6:30:00,9:18:00,6:26:00,8:58:00,2013-05-21
